GEOID,NAME,year_,AreaBurned
51165,Rockingham,2015,0.00027039061070828393
51165,Rockingham,2016,0.004268946622679814
51165,Rockingham,2018,0.00041742155191082955
51171,Shenandoah,2012,0.0005354701440906063
51171,Shenandoah,2013,2.5464325805209945e-05
51171,Shenandoah,2019,0.00019308618836041204
51173,Smyth,2018,5.539356067269182e-06
51187,Warren,2011,0.0004980462968688716
51187,Warren,2012,0.00024749328244491706
51195,Wise,2016,0.0004291100719569176
51197,Wythe,2013,0.000444739793384581
51530,Buena Vista,2013,9.594490791008015e-06
51550,Chesapeake,2008,0.0008191306276344938
51550,Chesapeake,2011,0.0009141351718047015
51730,Petersburg,2010,1.8560307624155575e-07
51800,Suffolk,2008,0.0009744629807983875
51800,Suffolk,2011,0.0012360572380908758
53001,Adams,2012,0.000521511884763523
53001,Adams,2016,2.8257326613088552e-05
53001,Adams,2017,0.004005750377109206
53001,Adams,2018,0.0008817480029385891
53003,Asotin,2001,0.0003027511370373747
53003,Asotin,2004,0.00015094344022938288
53003,Asotin,2012,0.006095590464620932
53003,Asotin,2013,0.0014628761637299655
53003,Asotin,2015,0.004632536306956422
53003,Asotin,2018,0.00022260263419450254
53005,Benton,2001,0.0005211555295782087
53005,Benton,2007,0.04009573737146915
53005,Benton,2008,0.00028008253159946027
53005,Benton,2009,0.007120387629419601
53005,Benton,2010,0.0005997782011473799
53005,Benton,2011,6.766678737206918e-05
53005,Benton,2012,2.4571223001011146e-05
53005,Benton,2013,0.0004785625292799382
53005,Benton,2015,0.0008182849318962113
53005,Benton,2016,0.03023593512907586
53005,Benton,2017,0.010911695379327136
53005,Benton,2018,0.007931492752761015
53005,Benton,2019,0.019776053041906935
53007,Chelan,2001,0.031163406156299162
53007,Chelan,2002,0.022031888252737972
53007,Chelan,2003,0.0023344086560355263
53007,Chelan,2004,0.031400999502694364
53007,Chelan,2005,0.0006952425586631189
53007,Chelan,2006,0.008375258799444566
53007,Chelan,2007,0.00909840218024387
53007,Chelan,2008,0.0007855242426278973
53007,Chelan,2009,0.0019756037375393025
53007,Chelan,2010,0.013610633063466715
53007,Chelan,2011,0.00034156643670848634
53007,Chelan,2012,0.030363073718441876
53007,Chelan,2013,0.008221899217359139
53007,Chelan,2014,0.03737410192728053
53007,Chelan,2015,0.10566817057837061
53007,Chelan,2016,0.002417727598252979
53007,Chelan,2017,0.010997838318970426
53007,Chelan,2018,0.022522527833435273
53007,Chelan,2019,0.0004071331249138235
53009,Clallam,2009,2.010115529146009e-06
53009,Clallam,2014,1.458926022289085e-07
53009,Clallam,2015,2.5663633384828213e-05
53009,Clallam,2016,2.7768743665028154e-05
53011,Clark,2010,6.264864421559402e-05
53013,Columbia,2005,0.011857658701399394
53013,Columbia,2006,0.0599464807247555
53013,Columbia,2015,0.027986456877465576
53013,Columbia,2016,0.0036838917430874088
53015,Cowlitz,2010,5.761765052588191e-05
53015,Cowlitz,2015,5.196999143740154e-05
53017,Douglas,2004,0.0029004162216374105
53017,Douglas,2007,0.00152354462426583
53017,Douglas,2008,0.013823363788278909
53017,Douglas,2010,2.6605211745411394e-06
53017,Douglas,2012,0.0469187230683914
53017,Douglas,2014,0.0021665076846237234
53017,Douglas,2015,0.08297944949967498
53017,Douglas,2016,0.00031059216504380745
53017,Douglas,2017,0.011518587714743064
53017,Douglas,2018,0.03743142397030029
53017,Douglas,2019,0.0012481915193459662
53019,Ferry,2001,0.003685776270275712
53019,Ferry,2003,0.002589235774131141
53019,Ferry,2006,0.0002788845462898209
53019,Ferry,2007,0.012976382974063734
53019,Ferry,2008,0.0002554497679514982
53019,Ferry,2010,0.0003191498060174513
53019,Ferry,2011,0.000304090329915248
53019,Ferry,2012,0.0008689737861798203
53019,Ferry,2013,0.000425743525063809
53019,Ferry,2014,0.011927516907511228
53019,Ferry,2015,0.1304639280231462
53019,Ferry,2016,0.0009263149046975967
53019,Ferry,2017,0.002225592950820255
53019,Ferry,2018,0.0038410260067235453
53019,Ferry,2019,0.021628145777455924
53021,Franklin,2007,0.005229075114886202
53021,Franklin,2013,0.00016034655025229857
53021,Franklin,2016,0.004024947060736481
53021,Franklin,2017,4.732147513007385e-05
53021,Franklin,2018,0.0009854413203414503
53021,Franklin,2019,0.0005447897977471334
53023,Garfield,2005,0.011908316547261641
53023,Garfield,2006,0.0027286530212648112
53023,Garfield,2015,0.008503270907730759
53023,Garfield,2016,0.0016385036652842306
53023,Garfield,2017,0.001477478316432258
53025,Grant,2005,0.0023399324240353813
53025,Grant,2006,0.0016157999877982046
53025,Grant,2007,0.004239859121087449
53025,Grant,2008,0.004335213553426046
53025,Grant,2009,0.0006157338718833806
53025,Grant,2010,0.0036997295478156376
53025,Grant,2012,0.0026647965097736765
53025,Grant,2014,0.00010053761705647188
53025,Grant,2015,0.009078446980873333
53025,Grant,2016,0.009512156859197141
53025,Grant,2017,0.015790552444641434
53025,Grant,2018,0.023559119253149734
53025,Grant,2019,0.013493029739568691
53031,Jefferson,2009,0.0006860580929182461
53031,Jefferson,2010,0.00018641479258680595
53031,Jefferson,2011,0.0006027544950639738
53031,Jefferson,2015,0.0013604510367227177
53031,Jefferson,2016,0.0016748208772934749
53031,Jefferson,2019,2.075919446584241e-05
53033,King,2015,1.8999438569664694e-05
53033,King,2017,0.000599915419658751
53037,Kittitas,2004,0.00034270984839526915
53037,Kittitas,2005,0.0004457823871834278
53037,Kittitas,2006,0.0005794726362197818
53037,Kittitas,2007,0.0002202356021054507
53037,Kittitas,2009,3.0283008918723102e-05
53037,Kittitas,2012,0.03738038193426828
53037,Kittitas,2013,0.03733262900761279
53037,Kittitas,2014,0.0064765050276222955
53037,Kittitas,2016,0.0005648025696830489
53037,Kittitas,2017,0.019467044800624198
53037,Kittitas,2018,0.0382669277991324
53037,Kittitas,2019,0.0019595658778967864
53039,Klickitat,2001,0.007066892158804268
53039,Klickitat,2002,7.328271633357002e-06
53039,Klickitat,2003,0.00013267900031295197
53039,Klickitat,2005,0.0028595835946021975
53039,Klickitat,2006,0.000374434546397328
53039,Klickitat,2007,0.012124973126682898
53039,Klickitat,2009,0.00012362101537427493
53039,Klickitat,2010,0.001580829745004964
53039,Klickitat,2011,0.005907792038955511
53039,Klickitat,2012,0.002089373823555187
53039,Klickitat,2013,0.012488445958141154
53039,Klickitat,2014,0.0010705958702514344
53039,Klickitat,2015,0.019555502186447648
53039,Klickitat,2016,0.001192381986336118
53039,Klickitat,2017,0.0001579781663448127
53039,Klickitat,2018,0.004973871298182985
53039,Klickitat,2019,0.000537658788741713
53041,Lewis,2003,0.00012597033144146736
53041,Lewis,2009,1.3972158659042843e-05
53041,Lewis,2012,0.0001598724008967717
53041,Lewis,2013,9.42453332417905e-05
53041,Lewis,2014,2.5810759885790257e-06
53041,Lewis,2015,0.00013975978300611802
53041,Lewis,2018,5.7510800294887885e-05
53043,Lincoln,2004,0.0005288374655031487
53043,Lincoln,2005,0.0007560159329847155
53043,Lincoln,2007,0.01528726283608874
53043,Lincoln,2008,0.009519430419237357
53043,Lincoln,2012,0.011452516320173266
53043,Lincoln,2014,0.0016002181194546996
53043,Lincoln,2015,0.0011790202381226078
53043,Lincoln,2016,0.0067700575688024785
